AreaManagerId,SellingPointId,StartDateSellingPoint,EndDateSellingPoint,SellingPointDesc,Location
363,13411,20060404,,Olympiaweg 31,"(52.34912857, 4.863218828)"
153,8082,20110101,20500101,,"(52.225786364, 6.891282033)"
363,13185,20060404,,Albert Cuypstraat 130,"(52.355418109, 4.893071729)"
363,12561,20060404,,Stadionweg  61,"(52.346739504, 4.87523752)"
153,8052,20110101,20500101,,"(52.217930506, 6.903782346)"
344,30061,20120101,20990101,,"(52.091413528, 5.138215617)"
363,15090,20070801,,THEODOOR VAN HOYTEMASTRAAT 2,"(52.36057517, 4.839019905)"
363,14543,20060404,,VRIJHEIDSLAAN 50 T/O,"(52.346896923, 4.908264245)"
344,30072,20120101,20990101,,"(52.10354636, 5.120321103)"
363,15755,20060404,,LORENTZLAAN 95 HOEK,"(52.34779892, 4.932824516)"
363,13706,20060404,,PRETORIUSSTRAAT 72 T/H_BORD,"(52.354810948, 4.921722891)"
363,17027,20120529,,Janusz Korczakplantsoen 1,"(52.319922082, 4.958726067)"
363,13087,20060404,,Van Woustraat 191,"(52.351285073, 4.903528354)"
995,21050,20150101,,Stationnsweg / De Promesse,"(52.508700169, 5.473722449)"
344,30022,20120101,20990101,,"(52.088616149, 5.118601265)"
473,236138,20120101,,,"(52.380709257, 4.531153131)"
363,13631,20060404,,DERDE OOSTERPARKSTRAAT 253 T/H,"(52.358218615, 4.923008794)"
363,10515,20060404,,HERENGRACHT 58 T/O,"(52.377561371, 4.890263557)"
363,13495,20060404,,Derde Schinkelstraat 60_BORD,"(52.352752986, 4.853757917)"
344,30078,20140201,20990101,,"(52.109124281, 5.128244247)"
363,17021,20120529,,Bernard Shawsingel 242,"(52.320475614, 4.945741739)"
484,21200,20150501,,Bleijenbergstraat,"(52.134647994, 4.663815533)"
363,19001,20070131,,Robert Scottstraat 36_BORD,"(52.374244961, 4.845828751)"
363,18029,20060404,,SLOTERMEERLAAN 80 T/H,"(52.37889917, 4.820513163)"
363,18860,20111003,,Rooswijck 74,"(52.325297257, 4.867453498)"
363,14642,20060404,,KINDERDIJKSTRAAT 46 T/O_BORD,"(52.342676223, 4.90318434)"
344,30121,20151001,20990101,,"(52.100174778, 5.100870177)"
363,11034,20060404,,MARNIXSTRAAT 91 T/H_BORD,"(52.38175325, 4.881329331)"
473,236115,20120101,,,"(52.373481467, 4.530476906)"
363,11285,20060404,,CRUQUIUSKADE  129,"(52.367475533, 4.929338227)"
363,12129,20060404,,JAN PIETER HEIJESTRAAT 180 HOEK,"(52.360886966, 4.865117416)"
363,12188,20060404,,BORGERSTRAAT 113 T/O_BORD,"(52.364589826, 4.864384363)"
363,14100,20060404,,Jan Evertsestraat 105,"(52.37041254, 4.852952701)"
344,30066,20120101,20990101,,"(52.077066787, 5.131911202)"
718,118436,20150101,,Kenau Hasselaarstraat,"(51.450265691, 3.559994921)"
344,30131,20121101,20990101,,"(52.092475959, 5.088966421)"
363,13088,20060404,,Van Woustraat 167,"(52.352053956, 4.90323552)"
363,17003,20120529,,Boris Pasternakstraat 289,"(52.318370241, 4.942975291)"
344,30071,20120101,20990101,,"(52.100595547, 5.10783634)"
344,30077,20170601,20990101,,"(52.107585708, 5.121042693)"
363,19187,20070212,,Egidiusstraat 68,"(52.380238074, 4.851265768)"
363,13396,20060404,,Sportstraat 25,"(52.346963037, 4.859681402)"
439,7908,20040618,,Beemsterburgwal,"(52.512010352, 4.945400952)"
363,16719,20060404,,HALMAHEIRASTRAAT 15 T/O,"(52.360430573, 4.939135464)"
363,13528,20060404,,TWEEDE BOERHAAVESTRAAT 57 T/H,"(52.359932781, 4.91447546)"
363,16810,20080414,,Erich salomonstraat 412,"(52.355598002, 4.999467413)"
363,16814,20081016,,Bert Haanstrakade 240,"(52.359185857, 4.996680979)"
1676,9621,20150301,,Alleen gereguleerd van 1 april tot en met 31 oktober,"(51.715472, 3.701306)"
363,14592,20060404,,WIELINGENSTRAAT 44 T/H,"(52.344550023, 4.886518757)"
90,51231,20130702,,Nachtegaalstraat,"(53.10745264, 6.106139149)"
363,11016,20060404,,LINDENGRACHT 204 T/H_BORD,"(52.380157817, 4.883433782)"
363,10109,20060404,,PRINSENGRACHT 852 T/H,"(52.362279545, 4.900868628)"
363,16543,20060404,,INSULINDEWEG 63 T/H,"(52.361364285, 4.935978735)"
363,19114,20070205,,Admiraal de Ruyterweg 295,"(52.379723061, 4.855932454)"
153,8019,20110101,20500101,,"(52.216949545, 6.889721447)"
405,21517,20140601,,Vale Hen,"(52.642905258, 5.05220759)"
363,19539,20090401,,Loenermark 873,"(52.397800467, 4.93009961)"
363,19133,20070206,,Nieuwpoortstraat 70,"(52.384054968, 4.858463303)"
114,78122,20140101,,Bij voormalig postkantoor,"(52.784028604, 6.896676407)"
363,13052,20060404,,Amsteldijk 19,"(52.357214676, 4.904407253)"
164,8565,20130101,,,"(52.264160214, 6.783611174)"
153,8035,20110101,20500101,,"(52.219863544, 6.90380505)"
518,2258,20130701,,LEYWEG 22 (4706),"(52.060737351, 4.262485817)"
363,13268,20060404,,Bronckhorststraat 14_BORD,"(52.353074243, 4.88110904)"
518,2258,20130701,,LEYWEG 2562 (4707),"(52.057690059, 4.265765349)"
363,10003,20111122,,Test automaat,"(52.383858263, 4.859406871)"
518,2258,20130701,,LEYWEG 332 (4709),"(52.056842984, 4.266799154)"
518,2258,20130701,,LEYWEG 208 (4751),"(52.058214334, 4.264698334)"
777,9454,20130901,,Bisschopsmolenstraat,"(51.567244542, 4.635577947)"
518,2258,20130701,,VOLENDAMLAAN 1158 (4733),"(52.061765451, 4.26123488)"
363,12534,20060404,,Gerrit van der Veenstraat  102,"(52.34896375, 4.873367839)"
518,2258,20161003,,A SCHWEITZERLAAN 253 (5363),"(52.059571367, 4.257083036)"
363,15804,20081219,,Joan Muskenweg 25,"(52.331179995, 4.914473921)"
518,2258,20130628,,LEYWEG 510 (4752),"(52.054964721, 4.268584085)"
363,10947,20091201,,Westerdoksdijk,"(52.386697355, 4.891903062)"
363,13352,20060404,,Prins Hendriklaan 22_BORD,"(52.353892466, 4.862600437)"
363,13319,20060404,,Willemsparkweg 221,"(52.355323096, 4.86840899)"
717,4308,20130101,,,"(51.56225541, 3.496313548)"
363,14151,20060404,,John Franklinstraat t/h 8,"(52.371169629, 4.854483223)"
518,2258,20130701,,LEYWEG 84 (4705),"(52.059725555, 4.263468433)"
363,18793,20060404,,VAN DER BOECHORTSTRAAT 0 T/H_BORD,"(52.329276027, 4.861753597)"
363,19025,20061211,,J van Arteveldestraat  15_BORD,"(52.376516347, 4.841314764)"
363,11068,20060404,,EGELANTIERSGRACHT 43 T/O,"(52.376165998, 4.882618228)"
796,73009,20110101,,,"(51.683333665, 5.309948101)"
153,8125,20110101,20500101,,"(52.224638268, 6.899763114)"
484,21200,20150501,,Reigerstraat / Merelstraat,"(52.132359517, 4.666577418)"
363,15559,20060404,,MR. P.N. ARNTZENIUSWEG 85 T/H,"(52.35398924, 4.937334165)"
448,29584,20170601,,Paal 20,"(53.101139086, 4.758546963)"
363,16574,20060404,,ENTREPOTHOF 132 T/H_BORD,"(52.368808903, 4.937180665)"
484,21200,20150501,,Jongkindt Coninckstraat nabij huisnr 108,"(52.127024383, 4.672406677)"
363,13555,20060404,,WEESPERZIJDE 85 T/O_BORD,"(52.352858869, 4.910199559)"
448,29585,20170601,,Ecomare,"(53.078695448, 4.74542093)"
363,11254,20060404,,WEESPERPLEIN 21 T/H,"(52.361829993, 4.908261596)"
363,12618,20060404,,Laan Der Hesperiden 118,"(52.344890588, 4.853298279)"
363,11059,20060404,,BLOEMGRACHT 53 T/O,"(52.374710509, 4.881119465)"
363,13440,20060404,,Stadionweg 183_BORD,"(52.345804697, 4.863103583)"
363,13516,20060404,,ANDREAS BONNSTRAAT 2 T/H,"(52.359921514, 4.911070895)"
164,8514,20130101,,,"(52.263376102, 6.790396615)"
164,8507,20130101,,,"(52.266153755, 6.79307867)"
363,16031,20060404,,DE WITTENKADE 63 T/H,"(52.383813812, 4.87853127)"
715,45306,20150508,,Scheldekade_2,"(51.339241687, 3.827454116)"
363,15257,20090721,,Louis Chrispijnstraat 25_BORD,"(52.354621138, 4.825545661)"
405,21504,20140601,,Kerkplein,"(52.640517124, 5.059979677)"
363,13348,20060404,,Prins Hendriklaan 60,"(52.353192116, 4.859916375)"
114,78102,20140101,,Min. Kanstraat 1,"(52.78664476, 6.895461094)"
363,13204,20060404,,Jan Luijkenstraat 37_BORD,"(52.359362272, 4.879942354)"
363,16070,20060404,,VAN HALLSTRAAT 23 T/H,"(52.384732245, 4.869877246)"
361,72014,20120604,,,"(52.629778244, 4.738732997)"
363,18843,20111003,,van Nijenrodeweg 865,"(52.327604684, 4.867640697)"
363,11003,20060404,,PRINSENGRACHT 14 T/O_BORD,"(52.379066425, 4.886824415)"
363,19045,20061211,,de Roos van Dekamaweg t/h 17,"(52.383301441, 4.842408012)"
479,75063,20130514,,1151,"(52.437183384, 4.811294577)"
363,12224,20060404,,AGATHA DEKENSTRAAT 37 T/O_BORD,"(52.368956587, 4.866833842)"
363,13423,20060404,,Stadionplein 73,"(52.343161202, 4.857840434)"
363,14591,20060404,,DEURLOOSTRAAT 110 T/H,"(52.34655405, 4.887623839)"
363,13694,20060404,,AFRIKANERPLEIN 25 T/O_BORD,"(52.35234625, 4.917525636)"
777,9458,20130901,,Oude Bredaseweg,"(51.5702648, 4.638622328)"
153,8043,20110101,20500101,,"(52.220366459, 6.888537236)"
160,77738,20130101,,Wilhelminaplein,"(52.575178663, 6.617398017)"
394,4472,20130101,20291231,NV Station,"(52.259876355, 4.645112142)"
363,13060,20060404,,1e Jan vd Heijdenstr 112,"(52.353629251, 4.892033336)"
363,12175,20060404,,STARINGSTRAAT 44 T/H_BORD,"(52.36036269, 4.863289018)"
363,13143,20060404,,Smaragdstraat 2,"(52.350800041, 4.906474502)"
363,15009,20070801,,NAALDWIJKSTRAAT 7,"(52.348322137, 4.842026789)"
363,14191,20060404,,Admiraal de Ruyterweg t/h 44_BORD,"(52.371258652, 4.861708406)"
363,17526,20060404,,TUSSEN MEER 46 T/H,"(52.358651591, 4.801919471)"
363,13098,20060404,,Lutmastraat 215 t/o,"(52.351924126, 4.905755541)"
1676,9635,20150301,,Alleen gereguleerd van 1 april tot en met 31 oktober,"(51.733667, 3.775667)"
90,51230,20130702,,Kade VI,"(53.107067054, 6.107563326)"
363,13037,20060404,,van Woustraat 23,"(52.356866965, 4.899821304)"
363,13660,20060404,,WAGENAARSTRAAT 324 T/H,"(52.36328665, 4.927493604)"
363,10842,20060404,,FOELIESTRAAT 2 T/O_BORD,"(52.37148401, 4.9105385)"
363,12033,20060404,,OVERTOOM 179 T/H,"(52.361666541, 4.871416025)"
363,16780,20120910,,Flevoparkweg 58,"(52.366068219, 4.950770504)"
405,21517,20140601,,Vale Hen,"(52.642806029, 5.052260469)"
363,17515,20060404,,OSDORPPLEIN 885 T/H,"(52.358076483, 4.805411813)"
796,73115,20110101,,,"(51.69880104, 5.312474936)"
363,16132,20060404,,HOUTMANKADE 58 T/H,"(52.38760668, 4.883601723)"
363,15162,20090721,,Pieter Calandlaan 83,"(52.356212716, 4.828957855)"
363,14098,20060404,,Jan Evertsenstraat 57,"(52.370849687, 4.855500796)"
363,18023,20060404,,SLOTERMEERLAAN 127 T/H,"(52.380858439, 4.820954236)"
1676,9644,20150301,,Alleen gereguleerd van 1 april tot en met 31 oktober,"(51.741667, 3.785972)"
363,15616,20060404,,RUSTHOFSTRAAT 1 T/H,"(52.343351876, 4.921697349)"
